Title,URL
"Tax revenue grows considerably in May, Purbaya saysThe finance minister has hailed ""real improvement"" across the board in tax collection, which the government said was the result of stronger economic activity and improved implementation of the Coretax platform.",https://www.thejakartapost.com/business/2026/06/07/tax-revenue-grows-considerably-in-may-purbaya-says?utm_source=(direct)&utm_medium=home_popular
"BI, Finance Ministry agree to boost asset yields to aid rupiah",https://www.thejakartapost.com/business/2026/06/07/bi-finance-ministry-agree-to-boost-asset-yields-to-aid-rupiah?utm_source=(direct)&utm_medium=home_popular
Resolving the misguided perceptions of deforestation for sustainable growth,https://www.thejakartapost.com/opinion/2025/03/01/resolving-the-misguided-perceptions-of-deforestation-for-sustainable-growth?utm_source=(direct)&utm_medium=home_popular
Risky reawakening of state-controlled commodity exports,https://www.thejakartapost.com/opinion/2026/05/22/risky-reawakening-of-state-controlled-commodity-exports?utm_source=(direct)&utm_medium=home_popular
Jakarta university weighs punishment after two men caught kissing,https://www.thejakartapost.com/indonesia/2026/06/05/jakarta-university-weighs-punishment-after-two-men-caught-kissing?utm_source=(direct)&utm_medium=home_popular
Indonesian hotel chain confirms exit from Cuba,https://www.thejakartapost.com/business/2026/06/07/indonesian-hotel-chain-confirms-exit-from-cuba?utm_source=(direct)&utm_medium=home_popular
Oligarchic consolidation pushes ‘end of Reform’ in Indonesia,https://www.thejakartapost.com/indonesia/2026/06/06/oligarchic-consolidation-pushes-end-of-reform-in-indonesia?utm_source=(direct)&utm_medium=home_popular
Light sentences still mar military justice system: Kontras,https://www.thejakartapost.com/indonesia/2026/06/07/light-sentences-still-mar-military-justice-system-kontras?utm_source=(direct)&utm_medium=home_popular
Rescuers halt search for two last men lost in Laos cave,https://www.thejakartapost.com/world/2026/06/06/rescuers-halt-search-for-two-last-men-lost-in-laos-cave?utm_source=(direct)&utm_medium=home_popular
"Free meals agency halts new kitchens, resets budget after graft shake-up",https://www.thejakartapost.com/business/2026/06/05/free-meals-agency-halts-new-kitchens-resets-budget-after-graft-shake-up?utm_source=(direct)&utm_medium=home_popular
